Articulo,Precio,Año,Mes
0,10000,1998,11
0,10000,1998,12
0,10000,1999,1
0,10000,1999,2
0,10000,1999,3
0,10000,1999,4
0,10000,1999,5
0,10000,1999,6
0,10000,1999,7
0,10000,1999,8
0,10000,1999,9
0,10000,1999,10
0,11000,1999,11
0,11000,1999,12
0,11000,2000,1
0,11000,2000,2
0,11000,2000,3
0,11000,2000,4
0,11000,2000,5
0,11000,2000,6
0,11000,2000,7
0,11000,2000,8
0,11000,2000,9
0,11000,2000,10
0,11000,2000,11
0,11000,2000,12
0,11000,2001,1
0,11000,2001,2
0,11000,2001,3
0,11000,2001,4
0,11000,2001,5
0,11000,2001,6
0,11000,2001,7
0,11000,2001,8
0,11000,2001,9
0,11000,2001,10
0,11000,2001,11
0,11000,2001,12
0,11000,2002,1
0,11000,2002,2
0,11000,2002,3
0,11000,2002,4
0,11000,2002,5
0,11000,2002,6
0,11000,2002,7
0,11000,2002,8
0,11000,2002,9
0,13000,2002,10
0,13000,2002,11
0,13000,2002,12
0,13000,2003,1
0,13000,2003,2
0,13000,2003,3
0,13000,2003,4
0,13000,2003,5
0,13000,2003,6
0,13000,2003,7
0,13000,2003,8
0,13000,2003,9
0,13000,2003,10
0,13000,2003,11
0,13000,2003,12
0,13000,2004,1
0,13000,2004,2
0,13000,2004,3
0,13000,2004,4
0,13000,2004,5
0,13000,2004,6
0,13000,2004,7
0,13000,2004,8
0,13000,2004,9
0,15000,2004,10
0,15000,2004,11
0,15000,2004,12
0,15000,2005,1
0,15000,2005,2
0,15000,2005,3
0,15000,2005,4
0,15000,2005,5
0,15000,2005,6
0,15000,2005,7
0,15000,2005,8
0,15000,2005,9
0,15000,2005,10
0,15000,2005,11
0,15000,2005,12
0,15000,2006,1
0,15000,2006,2
0,15000,2006,3
0,15000,2006,4
0,15000,2006,5
0,15000,2006,6
0,15000,2006,7
0,15000,2006,8
0,15000,2006,9
0,15000,2006,10
0,15000,2006,11
0,15000,2006,12
0,15000,2007,1
0,15000,2007,2
0,15000,2007,3
1,500,1998,11
1,500,1998,12
1,500,1999,1
1,500,1999,2
1,500,1999,3
1,500,1999,4
1,500,1999,5
1,500,1999,6
1,500,1999,7
1,500,1999,8
1,500,1999,9
1,500,1999,10
1,550,1999,11
1,550,1999,12
1,550,2000,1
1,550,2000,2
1,550,2000,3
1,550,2000,4
1,550,2000,5
1,550,2000,6
1,550,2000,7
1,550,2000,8
1,550,2000,9
1,550,2000,10
1,550,2000,11
1,550,2000,12
1,550,2001,1
1,550,2001,2
1,550,2001,3
1,550,2001,4
1,550,2001,5
1,550,2001,6
1,550,2001,7
1,550,2001,8
1,550,2001,9
1,550,2001,10
1,550,2001,11
1,550,2001,12
1,550,2002,1
1,550,2002,2
1,550,2002,3
1,550,2002,4
1,550,2002,5
1,550,2002,6
1,550,2002,7
1,550,2002,8
1,550,2002,9
1,650,2002,10
1,650,2002,11
1,650,2002,12
1,650,2003,1
1,650,2003,2
1,650,2003,3
1,650,2003,4
1,650,2003,5
1,650,2003,6
1,650,2003,7
1,650,2003,8
1,650,2003,9
1,650,2003,10
1,650,2003,11
1,650,2003,12
1,650,2004,1
1,650,2004,2
1,650,2004,3
1,650,2004,4
1,650,2004,5
1,650,2004,6
1,650,2004,7
1,650,2004,8
1,650,2004,9
1,750,2004,10
1,750,2004,11
1,750,2004,12
1,750,2005,1
1,750,2005,2
1,750,2005,3
1,750,2005,4
1,750,2005,5
1,750,2005,6
1,750,2005,7
1,750,2005,8
1,750,2005,9
1,750,2005,10
1,750,2005,11
1,750,2005,12
1,750,2006,1
1,750,2006,2
1,750,2006,3
1,750,2006,4
1,750,2006,5
1,750,2006,6
1,750,2006,7
1,750,2006,8
1,750,2006,9
1,750,2006,10
1,750,2006,11
1,750,2006,12
1,750,2007,1
1,750,2007,2
1,750,2007,3
2,500,1998,11
2,500,1998,12
2,500,1999,1
2,500,1999,2
2,500,1999,3
2,500,1999,4
2,500,1999,5
2,500,1999,6
2,500,1999,7
2,500,1999,8
2,500,1999,9
2,500,1999,10
2,550,1999,11
2,550,1999,12
2,550,2000,1
2,550,2000,2
2,550,2000,3
2,550,2000,4
2,550,2000,5
2,550,2000,6
2,550,2000,7
2,550,2000,8
2,550,2000,9
2,550,2000,10
2,550,2000,11
2,550,2000,12
2,550,2001,1
2,550,2001,2
2,550,2001,3
2,550,2001,4
2,550,2001,5
2,550,2001,6
2,550,2001,7
2,550,2001,8
2,550,2001,9
2,550,2001,10
2,550,2001,11
2,550,2001,12
2,550,2002,1
2,550,2002,2
2,550,2002,3
2,550,2002,4
2,550,2002,5
2,550,2002,6
2,550,2002,7
2,550,2002,8
2,550,2002,9
2,650,2002,10
2,650,2002,11
2,650,2002,12
2,650,2003,1
2,650,2003,2
2,650,2003,3
2,650,2003,4
2,650,2003,5
2,650,2003,6
2,650,2003,7
2,650,2003,8
2,650,2003,9
2,650,2003,10
2,650,2003,11
2,650,2003,12
2,650,2004,1
2,650,2004,2
2,650,2004,3
2,650,2004,4
2,650,2004,5
2,650,2004,6
2,650,2004,7
2,650,2004,8
2,650,2004,9
2,750,2004,10
2,750,2004,11
2,750,2004,12
2,750,2005,1
2,750,2005,2
2,750,2005,3
2,750,2005,4
2,750,2005,5
2,750,2005,6
2,750,2005,7
2,750,2005,8
2,750,2005,9
2,750,2005,10
2,750,2005,11
2,750,2005,12
2,750,2006,1
2,750,2006,2
