Inventario,Cliente,Tipo de Artículo,TipoPago,FecVenta,Año,Mes
1,100,59,Consigna,19981125,1998,11
3,100,95,Consigna,19981130,1998,11
4,100,23,Consigna,19981130,1998,11
6,4,5,Efectivo,19981201,1998,12
7,1,92,Efectivo,19981201,1998,12
8,1,1,Efectivo,19981201,1998,12
9,1,2,Efectivo,19981201,1998,12
10,4,5,Efectivo,19981201,1998,12
11,3,7,Efectivo,19981201,1998,12
12,1,21,Efectivo,19981201,1998,12
13,4,3,Efectivo,19981201,1998,12
14,5,97,Efectivo,19981201,1998,12
15,9,95,Cheque,19981201,1998,12
16,53,21,Efectivo,19981201,1998,12
17,9,85,Efectivo,19981201,1998,12
18,9,93,Efectivo,19981201,1998,12
19,1,91,Efectivo,19981201,1998,12
20,100,22,Consigna,19981201,1998,12
21,100,12,Consigna,19981201,1998,12
22,3,7,Efectivo,19981201,1998,12
23,3,83,Efectivo,19981201,1998,12
24,9,93,Cheque,19981201,1998,12
25,9,95,Efectivo,19981201,1998,12
27,5,97,Efectivo,19981201,1998,12
28,100,63,Consigna,19981201,1998,12
30,3,5,Efectivo,19981201,1998,12
31,2,67,Efectivo,19981201,1998,12
32,100,11,Consigna,19981201,1998,12
33,14,70,Efectivo,19981201,1998,12
34,100,70,Consigna,19981201,1998,12
35,5,33,Efectivo,19981201,1998,12
36,3,5,Efectivo,19981201,1998,12
38,6,20,Efectivo,19981201,1998,12
39,9,95,Efectivo,19981201,1998,12
40,1,3,Efectivo,19981201,1998,12
42,100,11,Consigna,19981201,1998,12
43,9,95,Efectivo,19981201,1998,12
44,1,1,Efectivo,19981201,1998,12
45,9,9,Efectivo,19981201,1998,12
46,6,20,Efectivo,19981201,1998,12
47,10,80,Efectivo,19981201,1998,12
48,3,7,Efectivo,19981201,1998,12
49,10,80,Efectivo,19981201,1998,12
50,1,1,Efectivo,19981201,1998,12
51,9,85,Efectivo,19981201,1998,12
52,18,66,Efectivo,19981201,1998,12
53,20,1,Efectivo,19981201,1998,12
54,9,11,Efectivo,19981201,1998,12
55,17,78,Efectivo,19981201,1998,12
56,20,1,Efectivo,19981201,1998,12
57,100,11,Consigna,19981201,1998,12
58,6,20,Efectivo,19981201,1998,12
59,100,11,Consigna,19981201,1998,12
60,53,18,Efectivo,19981201,1998,12
61,5,96,Efectivo,19981201,1998,12
62,9,11,Efectivo,19981201,1998,12
63,52,14,Efectivo,19981201,1998,12
64,9,95,Efectivo,19981201,1998,12
65,9,9,Efectivo,19981201,1998,12
